===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2020-01-01 00:00:00,7195.24,7255.0,7175.15,7200.85,16792.388165,,SMACross,1,737425.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2020-01-02 00:00:00,7200.77,7212.5,6924.74,6965.71,31951.483932,,SMACross,2,737426.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2020-01-03 00:00:00,6965.49,7405.0,6871.04,7344.96,68428.500451,,SMACross,3,737427.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2020-01-04 00:00:00,7345.0,7404.0,7272.21,7354.11,29987.974977,,SMACross,4,737428.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2020-01-05 00:00:00,7354.19,7495.0,7318.0,7358.75,38331.085604,,SMACross,5,737429.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2020-01-06 00:00:00,7357.64,7795.34,7346.76,7758.0,54635.695316,,SMACross,6,737430.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2020-01-07 00:00:00,7758.9,8207.68,7723.71,8145.28,91171.684661,,SMACross,7,737431.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2020-01-08 00:00:00,8145.92,8455.0,7870.0,8055.98,112622.64264,,SMACross,8,737432.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2020-01-09 00:00:00,8054.72,8055.96,7750.0,7817.76,64239.51983,,SMACross,9,737433.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2020-01-10 00:00:00,7817.74,8199.0,7672.0,8197.02,82406.777448,,SMACross,10,737434.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2020-01-11 00:00:00,8198.86,8286.34,8003.16,8020.01,54810.032667,,SMACross,11,737435.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2020-01-12 00:00:00,8020.01,8197.0,7960.0,8184.98,38131.494336,,SMACross,12,737436.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2020-01-13 00:00:00,8184.97,8196.0,8055.89,8110.34,31159.755683,,SMACross,13,737437.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2020-01-14 00:00:00,8110.34,8880.0,8105.54,8810.01,120399.126742,,SMACross,14,737438.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2020-01-15 00:00:00,8814.64,8916.48,8564.0,8821.41,84816.297606,,SMACross,15,737439.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2020-01-16 00:00:00,8820.01,8859.81,8586.0,8720.01,51991.074284,,SMACross,16,737440.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2020-01-17 00:00:00,8720.15,9041.65,8672.44,8913.28,70897.737377,,SMACross,17,737441.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2020-01-18 00:00:00,8913.27,8988.88,8806.38,8915.96,38294.746545,,SMACross,18,737442.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2020-01-19 00:00:00,8915.09,9198.98,8466.0,8701.7,70676.889259,,SMACross,19,737443.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2020-01-20 00:00:00,8701.72,8746.99,8521.28,8642.35,38896.639746,,SMACross,20,737444.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2020-01-21 00:00:00,8642.35,8789.0,8488.0,8736.03,36494.687659,,SMACross,21,737445.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2020-01-22 00:00:00,8736.04,8818.0,8590.0,8682.36,29080.557138,,SMACross,22,737446.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2020-01-23 00:00:00,8682.77,8691.81,8306.39,8404.52,48165.944597,,SMACross,23,737447.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2020-01-24 00:00:00,8404.52,8528.02,8238.0,8439.0,41687.529529,,SMACross,24,737448.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2020-01-25 00:00:00,8438.99,8451.26,8254.9,8340.58,25521.157932,,SMACross,25,737449.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2020-01-26 00:00:00,8340.01,8618.13,8293.66,8615.0,31130.485164,,SMACross,26,737450.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2020-01-27 00:00:00,8614.39,9000.0,8535.0,8907.57,53973.542996,,SMACross,27,737451.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2020-01-28 00:00:00,8907.57,9400.0,8862.4,9374.21,74584.853765,,SMACross,28,737452.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2020-01-29 00:00:00,9375.34,9449.24,9216.0,9301.53,53864.065122,,SMACross,29,737453.0,Broker,29,88.90542605723667,9912.148878038792,BuySell,29,9077.76,,Trades - Net Profit/Loss,29,,
30,,30,2020-01-30 00:00:00,9301.57,9578.0,9204.44,9513.21,60626.744259,,SMACross,30,737454.0,Broker,30,88.90542605723667,10135.701796098017,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2020-01-31 00:00:00,9511.52,9530.22,9210.01,9352.89,45552.022352,,SMACross,31,737455.0,Broker,31,88.90542605723667,9966.389608724361,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2020-02-01 00:00:00,9351.71,9464.53,9281.0,9384.61,28578.067354,,SMACross,32,737456.0,Broker,32,88.90542605723667,9999.888751585468,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2020-02-02 00:00:00,9384.41,9477.03,9120.0,9331.51,45690.91254,,SMACross,33,737457.0,Broker,33,88.90542605723667,9943.810426051903,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2020-02-03 00:00:00,9331.59,9618.79,9234.0,9292.24,50892.133451,,SMACross,34,737458.0,Broker,34,88.90542605723667,9902.337811292899,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2020-02-04 00:00:00,9291.35,9350.0,9093.01,9197.02,53308.175266,,SMACross,35,737459.0,Broker,35,88.90542605723667,9801.77701737,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2020-02-05 00:00:00,9197.02,9744.45,9177.22,9612.04,64870.415615,,SMACross,36,737460.0,Broker,36,88.90542605723667,10240.075071286008,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2020-02-06 00:00:00,9612.03,9862.57,9526.35,9772.0,64949.706588,,SMACross,37,737461.0,Broker,37,88.90542605723667,10409.007066622147,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2020-02-07 00:00:00,9772.0,9885.0,9730.0,9813.73,43966.114632,,SMACross,38,737462.0,Broker,38,88.90542605723667,10453.077660304176,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2020-02-08 00:00:00,9813.87,9940.0,9667.11,9895.05,43600.843666,,SMACross,39,737463.0,Broker,39,88.90542605723667,10538.958817222998,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2020-02-09 00:00:00,9895.04,10166.0,9880.75,10151.75,43408.475616,,SMACross,40,737464.0,Broker,40,88.90542605723667,10810.056861751551,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2020-02-10 00:00:00,10151.72,10188.0,9756.0,9851.83,59573.084619,,SMACross,41,737465.0,Broker,41,88.90542605723667,10493.314650941253,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2020-02-11 00:00:00,9851.74,10323.59,9700.0,10223.08,62422.395224,,SMACross,42,737466.0,Broker,42,88.90542605723667,10885.387689629313,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2020-02-12 00:00:00,10223.08,10450.0,10223.08,10326.46,61008.06393,,SMACross,43,737467.0,Broker,43,88.90542605723667,10994.566169735903,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2020-02-13 00:00:00,10325.33,10500.0,10080.0,10229.63,79344.358759,,SMACross,44,737468.0,Broker,44,88.90542605723667,10892.305072534113,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2020-02-14 00:00:00,10227.78,10381.56,10111.37,10344.36,47038.480173,,SMACross,45,737469.0,Broker,45,88.90542605723667,11013.47016271238,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2020-02-15 00:00:00,10344.36,10375.0,9801.0,9904.72,57657.202947,,SMACross,46,737470.0,Broker,46,88.90542605723667,10549.171197786267,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2020-02-16 00:00:00,9904.46,10050.0,9638.12,9917.27,60023.999537,,SMACross,47,737471.0,Broker,47,88.90542605723667,10562.425114649663,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2020-02-17 00:00:00,9910.7,9964.16,9452.67,9706.0,70261.011901,,SMACross,48,737472.0,Broker,48,88.90542605723667,10339.305193077604,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2020-02-18 00:00:00,9706.0,10250.0,9576.01,10164.71,70604.124019,,SMACross,49,737473.0,Broker,49,88.90542605723667,10823.743775102115,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2020-02-19 00:00:00,10164.78,10250.0,9350.0,9593.79,55162.586895,,SMACross,50,737474.0,Broker,50,88.90542605723667,10220.80144716195,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2020-02-20 00:00:00,9594.65,9699.0,9400.0,9596.42,60152.342914,,SMACross,51,737475.0,Broker,51,10211.576879438375,10211.576879438375,BuySell,51,,9844.484999999999,Trades - Net Profit/Loss,51,211.57687943837345,
52,,52,2020-02-21 00:00:00,9597.21,9755.51,9550.21,9677.05,42181.554524,,SMACross,52,737476.0,Broker,52,10211.576879438375,10211.576879438375,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2020-02-22 00:00:00,9677.05,9709.17,9560.02,9650.86,24636.757623,,SMACross,53,737477.0,Broker,53,10211.576879438375,10211.576879438375,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2020-02-23 00:00:00,9650.85,9990.0,9645.0,9936.4,37702.089843,,SMACross,54,737478.0,Broker,54,10211.576879438375,10211.576879438375,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2020-02-24 00:00:00,9936.4,9990.0,9473.56,9656.13,55796.59612,,SMACross,55,737479.0,Broker,55,10211.576879438375,10211.576879438375,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2020-02-25 00:00:00,9655.52,9675.0,9250.0,9315.84,54379.344552,,SMACross,56,737480.0,Broker,56,10211.576879438375,10211.576879438375,BuySell,56,,,Trades - Net Profit/Loss,56,,
